68,"['794362', '9095a2', '96d0e6', 'd53b7b', 'e5b99e', 'f6edeb']","[1.3416, 0.6084, 1.092, 1.2792, 1.4196, 0.6084, 0.624, 0.7488, 0.8268, 0.8112]"
69,"['888e9b', '8dd0e8', 'c23871', 'c7d3e0', 'e6b79b', 'f9efeb']","[0.8892, 0.4836, 0.4836, 0.9516, 0.4836, 0.6084, 0.8268, 1.0608, 1.014, 1.092]"
70,"['82889c', '8fd1e8', 'c33570', 'cdced7', 'e1b28f', 'f8efec']","[0.4368, 0.936, 0.5616, 1.6068, 0.9204, 1.1856, 0.9984, 1.0452, 0.6396, 0.78]"
71,"['838c9d', '8dd0e8', 'c23872', 'c8ced9', 'e5b491', 'f8efeb']","[1.0296, 0.8112, 1.9032, 0.7332, 1.3104, 1.248, 0.5928, 1.7628, 0.9516, 0.5928]"
72,"['848b9b', '8ed1e8', 'c33671', 'ccccd5', 'e2b090', 'f9efec']","[0.5928, 0.6708, 0.4524, 0.5928, 0.6084, 0.5928, 0.8892, 1.1856, 1.482, 0.6084]"
73,"['878d9d', '8dd0e8', 'c53773', 'c8d1dc', 'e5b391', 'f9efeb']","[0.8268, 0.9828, 0.4524, 0.6864, 2.028, 0.9048, 0.7488, 1.2012, 0.6396, 1.0608]"
74,"['878c9b', '8dd0e8', 'c63873', 'c8d1de', 'e5b696', 'f9efeb']","[0.6864, 0.7176, 0.624, 1.7628, 0.468, 0.7644, 0.624, 0.702, 0.6864, 0.7644]"
75,"['8dc8e1', 'a94d7b', 'c7d5e1', 'd8b28f', 'f7f9fc', 'fae6dc']","[0.9516, 0.8736, 0.5616, 0.6396, 1.0452, 0.9672, 1.1232, 0.9672, 0.7176, 0.7176]"
76,"['7b3b5d', '8a8ea1', '96cfe6', 'd8387a', 'e2b99c', 'f5edea']","[1.0608, 0.7176, 0.8892, 2.3556, 1.5288, 0.6552, 1.2792, 1.3728, 1.0608, 0.7332]"
77,"['767f95', '92d0e7', 'afa19c', 'c53572', 'e3c0ae', 'f5eeec']","[0.9828, 0.9204, 0.8268, 2.7768, 0.8268, 0.7488, 0.9048, 3.0264, 0.6552, 1.9032]"
78,"['7f858b', '90d3e9', 'b1b4c6', 'c53873', 'e9b99c', 'f6eeeb']","[1.1076, 0.858, 1.7004, 0.6864, 0.8424, 0.8736, 0.5148, 1.014, 0.936, 1.014]"
79,"['868b9d', '8ed0e8', 'c23872', 'c9d2dd', 'e5b595', 'f9efeb']","[0.9516, 0.702, 1.4664, 1.1232, 0.5148, 1.6848, 0.6864, 1.0452, 0.6864, 0.6084]"
80,"['80879a', '96cfe5', 'c53472', 'dfb393', 'f4f8fb', 'f5e3dd']","[1.2168, 1.0296, 1.0452, 0.78, 0.8736, 0.6864, 1.0452, 1.0452, 1.3104, 1.3104]"
81,"['878c96', '8dd0e7', 'c43672', 'c5ceda', 'e8b599', 'f8efeb']","[0.8892, 1.6848, 1.326, 0.9048, 0.9672, 0.546, 1.4196, 0.8736, 0.546, 0.9828]"
82,"['868c97', '8dd0e8', 'c53873', 'c7cfdb', 'e7b598', 'f9efeb']","[0.468, 1.5288, 0.6396, 1.17, 1.5444, 1.5132, 1.6224, 1.3572, 1.5288, 1.3572]"
83,"['847a6a', '93d0e7', '9598b6', 'cd3576', 'e5baa0', 'f5edeb']","[0.936, 0.5772, 0.6552, 0.936, 0.6552, 1.3416, 0.7644, 1.5912, 1.3104, 1.5132]"
84,"['754b62', '9093a1', '96cfe6', 'd53879', 'e6b99d', 'f5edeb']","[2.4648, 0.6708, 2.184, 1.326, 2.3868, 0.7644, 1.326, 0.7644, 2.9328, 0.6708]"
85,"['8dcbe3', 'a84c7c', 'c6d3e0', 'd2af91', 'f8fbfc', 'f9e6df']","[1.8564, 1.7472, 1.56, 0.78, 0.8892, 0.8736, 1.8408, 0.6864, 1.17, 0.5928]"
86,"['8ecfe6', 'b13f76', 'bca599', 'd1dbe6', 'fbe6dc', 'fbfcfd']","[1.4508, 1.2792, 2.34, 1.17, 1.17, 0.78, 0.9984, 0.9828, 0.78, 0.6864]"
87,"['858a9b', '8ed1e8', 'c43873', 'cccdd6', 'e4b491', 'f9efec']","[0.7956, 1.404, 0.9984, 1.6068, 0.9984, 0.9828, 1.9032, 0.702, 1.2012, 1.6848]"
88,"['83385c', '8b909c', '94d0e7', 'd73b7b', 'dfbba9', 'f5eeeb']","[3.2448, 1.1232, 2.8236, 3.3696, 1.1076, 1.2324, 1.4196, 4.1652, 0.8112, 1.1232]"
89,"['878b9d', '8ed1e8', 'c23771', 'c9cfd9', 'e4b391', 'f9efeb']","[0.936, 1.8876, 0.8424, 0.7332, 1.248, 3.12, 1.7628, 1.3572, 1.0452, 1.2636]"
90,"['838891', '8fd2e9', 'c1bfcd', 'c63773', 'e9b697', 'f6eeeb']","[0.858, 1.3884, 3.2136, 1.6068, 1.17, 0.9672, 2.028, 1.7161, 1.0608, 1.8252]"
91,"['898aaa', '92d1e8', '9aa662', 'c13671', 'debcaf', 'f6eeec']","[0.8736, 0.9672, 1.4352, 1.3104, 1.8252, 1.6224, 2.1684, 0.9828, 3.2448, 1.1856]"
92,"['848a9b', '8dd0e7', 'c53772', 'c8d2de', 'e3b494', 'f9efeb']","[3.0108, 0.8736, 1.248, 0.9828, 2.652, 0.858, 1.8565, 1.5444, 0.8112, 0.7644]"
93,"['888c97', '8cd0e8', 'c43872', 'c7d2de', 'e8b597', 'f9efeb']","[0.8892, 1.404, 0.8892, 1.2168, 0.8892, 1.2168, 1.0452, 1.56, 2.496, 1.3884]"
94,"['7f8596', '90d2e9', 'c53773', 'c6c1cc', 'e5b38f', 'f7eeeb']","[1.2792, 0.9048, 1.7472, 1.9656, 1.9189, 1.9344, 1.17, 1.0296, 0.9048, 1.872]"
95,"['858b9d', '8ed1e8', 'c23671', 'ceced6', 'e1b18f', 'f9efec']","[0.8112, 1.0608, 0.8112, 4.4616, 1.2168, 1.7472, 1.6224, 1.326, 1.7472, 3.1668]"
96,"['858b99', '94cee5', 'c33671', 'e0b397', 'f3f8fb', 'f5e3dd']","[0.9516, 1.7628, 2.0436, 1.8876, 1.248, 1.7628, 0.8268, 2.9952, 1.1856, 1.6692]"
97,"['868a9c', '8dd0e8', 'c53772', 'c8d2dd', 'e5b593', 'f9efeb']","[1.0764, 2.652, 2.8548, 1.4352, 0.5304, 0.8268, 1.7472, 2.1996, 0.5928, 1.014]"
98,"['848a9b', '8dd0e8', 'c43772', 'c7ceda', 'e5b592', 'f9efeb']","[1.4196, 3.2761, 0.9984, 1.794, 0.8736, 1.9812, 1.1076, 1.3728, 1.0296, 1.482]"
99,"['8dc9e2', 'ad4879', 'c6d3df', 'd3ae8f', 'f8fbfc', 'f9e6de']","[1.1232, 1.0452, 1.3884, 1.2636, 0.7488, 1.404, 1.7628, 1.5132, 0.9204, 0.8892]"
100,"['888e98', '8dd0e7', 'c33772', 'c8d1dd', 'e6b598', 'f9efeb']","[2.028, 0.936, 2.1528, 1.6536, 0.936, 2.184, 1.2792, 1.3104, 1.5288, 2.574]"
101,"['8688aa', '909e5e', '96cfe5', 'c53673', 'e6b99f', 'f5edeb']","[1.2012, 2.4337, 3.2292, 1.2948, 1.1388, 2.2464, 3.198, 1.2948, 3.6348, 0.9048]"
102,"['868b9d', '95cfe5', 'c23771', 'e1b494', 'f3f8fb', 'f5e4dd']","[0.9048, 1.8252, 3.5724, 0.9048, 5.2728, 1.7472, 1.8096, 3.4008, 3.1513, 1.7004]"
103,"['868a99', '8dd0e8', 'c53772', 'c6cfdb', 'e8b696', 'f8efeb']","[3.2448, 1.17, 1.4352, 0.936, 3.2604, 0.9204, 3.5412, 2.2308, 1.6068, 2.4648]"
104,"['868a9c', '8dd0e7', 'c23771', 'c9d2dd', 'e4b696', 'f9efeb']","[4.446, 3.2604, 1.8252, 5.4132, 2.6052, 0.9672, 6.2089, 1.4976, 1.5132, 1.6536]"
105,"['858a9d', '8dd0e7', 'c53772', 'c7d1dd', 'e2b492', 'f9efeb']","[0.9672, 1.638, 3.9468, 1.7784, 2.0592, 1.1076, 3.4164, 0.6864, 2.0436, 1.3572]"
106,"['878c97', '8cd0e8', 'c43772', 'c6cedb', 'e8b597', 'f8efeb']","[2.6208, 1.3728, 1.638, 1.092, 1.1232, 1.5132, 1.2324, 1.092, 1.1076, 0.9672]"
107,"['888bad', '94d0e7', '989b65', 'c23572', 'e2bba7', 'f6edeb']","[1.326, 2.1684, 0.5772, 0.858, 3.6036, 1.4508, 1.7004, 2.6052, 1.2792, 1.326]"
108,"['858a9b', '8dd0e7', 'c33671', 'c8d2dd', 'e4b594', 'f9efeb']","[1.2948, 2.1528, 1.17, 2.5896, 1.9032, 1.4508, 1.6068, 1.6068, 1.326, 1.2948]"
109,"['7f8394', '8fd2e9', 'c2bfcc', 'c63773', 'e4b38e', 'f7eeeb']","[2.2152, 4.2588, 1.4664, 1.6224, 3.2448, 1.6068, 1.8876, 2.9484, 2.7612, 1.7784]"
110,"['878d9d', '8dd0e8', 'c23772', 'c8d1dd', 'e3b594', 'f9efeb']","[1.6224, 1.3104, 1.3572, 2.7924, 1.6224, 1.17, 2.8392, 4.7736, 4.3057, 1.482]"
111,"['8fc8e1', 'aa4d7b', 'd1dbe7', 'dab290', 'fafcfd', 'fbe6dd']","[1.5132, 1.3884, 2.0904, 2.0904, 1.6536, 0.7332, 1.2012, 2.0904, 2.6988, 2.3868]"
112,"['828798', '90d2e9', 'c53773', 'c5c1cd', 'e5b48f', 'f7eeeb']","[0.9048, 1.2168, 1.9656, 1.4976, 1.0608, 1.4976, 2.028, 1.0452, 0.9204, 1.3728]"
113,"['8a919c', '8c355d', '95cfe6', 'd93b7c', 'e1b9a4', 'f5edeb']","[2.184, 0.7644, 2.34, 3.2448, 2.6364, 4.6644, 2.496, 1.716, 1.9968, 3.7284]"
114,"['828891', '90d2e9', 'c4c1cd', 'c73673', 'e7b393', 'f7eeeb']","[1.4508, 3.6036, 1.56, 1.56, 1.248, 1.56, 2.2308, 7.2229, 1.3104, 2.3556]"
