125,"[10.3887, 16.6201, 9.7285, 8.3057, 20.2744, 11.8584, 7.6299, 9.0098, 13.9707, 8.2998]"
126,"[10.5674, 23.5098, 20.4355, 22.7275, 18.3564, 21.7939, 13.4717, 21.9893, 11.2744, 15.5059]"
127,"[6.4404, 10.8066, 12.2178, 21.5771, 18.0674, 26.5791, 20.7754, 13.709, 23.5664, 15.8408]"
128,"[8.7383, 16.0576, 20.4229, 18.1592, 9.5352, 25.4385, 22.5029, 17.4658, 25.6182, 25.4775]"
129,"[9.4062, 13.1514, 10.2686, 16.7285, 10.1523, 21.8271, 10.2021, 5.1055, 6.5107, 26.3047]"
130,"[13.4053, 33.0361, 10.9658, 17.4033, 40.7344, 25.1973, 14.8848, 33.8311, 32.2061, 19.6729]"
131,"[16.6074, 15.9229, 27.7959, 27.9307, 19.1064, 27.8301, 34.9424, 33.3008, 5.5312, 19.8545]"
132,"[30.5146, 21.6289, 31.3232, 8.0684, 14.4971, 5.6113, 11.2266, 38.5859, 37.5947, 20.8721]"
133,"[9.7764, 21.2588, 9.7949, 22.8887, 11.4404, 9.8281, 16.2793, 19.6436, 16.3467, 19.6318]"
134,"[27.9463, 17.4033, 18.9209, 10.7471, 25.8018, 24.9736, 17.3789, 27.2129, 27.9951, 23.0352]"
135,"[20.8203, 35.0801, 25.0439, 30.9678, 8.3086, 6.6709, 30.1836, 25.8848, 7.4951, 24.376]"
136,"[40.3799, 20.166, 31.835, 24.5078, 27.0654, 10.1572, 10.9365, 9.2998, 23.5449, 19.4355]"
137,"[24.6797, 29.6357, 27.0762, 19.6377, 23.8008, 29.5615, 16.082, 10.1631, 27.2861, 11.8809]"
138,"[26.6777, 13.043, 25.9219, 11.2129, 6.0957, 13.0117, 26.8438, 19.8057, 26.834, 24.1934]"
139,"[19.4355, 39.0107, 11.4902, 27.4385, 9.7109, 27.5254, 12.3516, 32.7031, 21.3457, 34.4834]"
140,"[19.4375, 21.4355, 30.917, 26.6455, 15.8828, 12.4688, 34.5312, 15.0283, 17.8457, 37.2119]"
141,"[36.624, 23.2812, 18.7939, 13.4297, 33.8584, 12.708, 39.0762, 15.9863, 28.5537, 39.958]"
142,"[36.0039, 34.4688, 37.2598, 17.2061, 51.0371, 32.3945, 9.0498, 35.1689, 10.9551, 31.6035]"
